84.9,4.2948126792907715,0.7780952380952381,0.9745676500508647,0.7715430861723447,0.8389912706110573,0.7440076701821668,0.9431137724550899,0.6197674418604651,0.9126594700686947,0.9380530973451328,0.9448345035105316,0.817,0.958,0.77,0.865,0.776,0.945,0.533,0.93,0.954,0.942
84.94,4.297725558280945,0.7785171102661597,0.9745676500508647,0.7754279959718026,0.8406219630709426,0.7432950191570882,0.9431137724550899,0.6192129629629629,0.9117647058823529,0.9380530973451328,0.9457831325301205,0.819,0.958,0.77,0.865,0.776,0.945,0.535,0.93,0.954,0.942
84.92,4.298672199249268,0.7780952380952381,0.9745676500508647,0.7744209466263847,0.8391472868217055,0.7463837994214079,0.942173479561316,0.618828932261768,0.910871694417238,0.937992125984252,0.9466800804828974,0.817,0.958,0.769,0.866,0.774,0.945,0.539,0.93,0.953,0.941
84.95,4.293556720018387,0.7777777777777778,0.9745676500508647,0.7723169508525577,0.8398058252427184,0.7449856733524355,0.9431137724550899,0.6210526315789474,0.9144542772861357,0.9380530973451328,0.943943943943944,0.819,0.958,0.77,0.865,0.78,0.945,0.531,0.93,0.954,0.943
84.93,4.296703398227692,0.7777777777777778,0.9745676500508647,0.7715430861723447,0.8398058252427184,0.7447418738049714,0.9431137724550899,0.6210526315789474,0.9126594700686947,0.9380530973451328,0.9448345035105316,0.819,0.958,0.77,0.865,0.779,0.945,0.531,0.93,0.954,0.942
84.9,4.301462650299072,0.7768281101614435,0.9745676500508647,0.7707707707707707,0.8391472868217055,0.744721689059501,0.9431137724550899,0.6191588785046729,0.9127450980392157,0.9380530973451328,0.9457831325301205,0.818,0.958,0.77,0.866,0.776,0.945,0.53,0.931,0.954,0.942
84.91,4.297164618968964,0.7777777777777778,0.9745676500508647,0.7723169508525577,0.8398058252427184,0.7442528735632183,0.9431137724550899,0.6188811188811189,0.9126594700686947,0.9380530973451328,0.9448345035105316,0.819,0.958,0.77,0.865,0.777,0.945,0.531,0.93,0.954,0.942
84.94,4.298018455505371,0.777988614800759,0.9745676500508647,0.7738693467336684,0.8414396887159533,0.7437619961612284,0.9431137724550899,0.6187717265353418,0.9118511263467189,0.9380530973451328,0.9467336683417086,0.82,0.958,0.77,0.865,0.775,0.945,0.534,0.931,0.954,0.942
84.89,4.295076638460159,0.778836987607245,0.9745676500508647,0.7730923694779116,0.8375241779497099,0.74447646493756,0.9431137724550899,0.6176129779837776,0.9117647058823529,0.937992125984252,0.9457831325301205,0.817,0.958,0.77,0.866,0.775,0.945,0.533,0.93,0.953,0.942
84.92,4.296556979417801,0.7780952380952381,0.9745676500508647,0.7730923694779116,0.8391472868217055,0.74447646493756,0.9431137724550899,0.6187717265353418,0.9118511263467189,0.9380530973451328,0.9467336683417086,0.817,0.958,0.77,0.866,0.775,0.945,0.534,0.931,0.954,0.942
